ticket_id,subject,priority,status,created_date,created_at
TKT-1000,Software Installation Request,Critical,Resolved,2025-05-27,2025-05-27 06:02:11
TKT-1001,Password Reset Request,Low,Open,2025-05-01,2025-05-01 07:59:35
TKT-1002,VPN Connection Failed,Low,Resolved,2025-09-11,2025-09-11 12:10:43
TKT-1003,Mouse/Keyboard Malfunction,Medium,Open,2025-09-29,2025-09-29 21:07:53
TKT-1004,Laptop Screen Flickering,Medium,In Progress,2025-08-18,2025-08-18 00:58:24
TKT-1005,Password Reset Request,High,Open,2025-11-03,2025-11-03 02:30:13
TKT-1006,VPN Connection Failed,Critical,Resolved,2025-11-01,2025-11-01 12:12:17
TKT-1007,Software Installation Request,Critical,In Progress,2025-02-08,2025-02-08 02:49:37
TKT-1008,Printer Jammed,Medium,Open,2025-10-20,2025-10-20 00:10:19
TKT-1009,Wi-Fi Access Issue,Critical,Resolved,2025-04-30,2025-04-30 09:16:13
TKT-1010,Password Reset Request,High,Resolved,2025-06-16,2025-06-16 22:42:13
TKT-1011,Password Reset Request,Critical,Resolved,2025-10-08,2025-10-08 12:09:43
TKT-1012,Software Installation Request,Low,Pending User Action,2025-11-12,2025-11-12 13:59:01
TKT-1013,Wi-Fi Access Issue,Medium,Closed,2025-09-13,2025-09-13 21:39:44
TKT-1014,Mouse/Keyboard Malfunction,High,Pending User Action,2025-02-23,2025-02-23 09:38:00
TKT-1015,Blue Screen Error,High,Open,2025-01-23,2025-01-23 21:22:30
TKT-1016,Mouse/Keyboard Malfunction,Low,Pending User Action,2025-03-22,2025-03-22 02:29:22
TKT-1017,Mouse/Keyboard Malfunction,Critical,Closed,2025-10-21,2025-10-21 13:09:34
TKT-1018,Laptop Screen Flickering,Low,Resolved,2025-09-09,2025-09-09 23:42:14
TKT-1019,Laptop Screen Flickering,Critical,Resolved,2025-08-21,2025-08-21 20:20:15
TKT-1020,Printer Jammed,High,Closed,2025-11-20,2025-11-20 12:57:11
TKT-1021,Blue Screen Error,Low,In Progress,2025-07-05,2025-07-05 12:44:02
TKT-1022,Password Reset Request,High,Closed,2025-03-30,2025-03-30 16:24:33
TKT-1023,Printer Jammed,Low,Closed,2025-12-02,2025-12-02 10:20:02
TKT-1024,VPN Connection Failed,Critical,Pending User Action,2025-04-05,2025-04-05 04:58:36
TKT-1025,Blue Screen Error,Critical,Open,2025-03-01,2025-03-01 01:11:04
TKT-1026,Software Installation Request,Medium,In Progress,2025-04-15,2025-04-15 22:39:37
TKT-1027,System Slow Performance,Critical,Pending User Action,2025-11-11,2025-11-11 20:34:24
TKT-1028,Wi-Fi Access Issue,Medium,Closed,2025-10-16,2025-10-16 19:44:24
TKT-1029,Mouse/Keyboard Malfunction,High,Pending User Action,2025-08-14,2025-08-14 15:59:22
TKT-1030,Software Installation Request,Critical,Pending User Action,2025-03-17,2025-03-17 22:19:22
TKT-1031,Access to Shared Drive Denied,Low,Resolved,2025-03-29,2025-03-29 07:41:32
TKT-1032,Monitor Display Issue,Medium,Pending User Action,2025-07-18,2025-07-18 03:14:11
TKT-1033,Blue Screen Error,High,Closed,2025-05-08,2025-05-08 20:26:30
TKT-1034,Wi-Fi Access Issue,High,Pending User Action,2025-02-10,2025-02-10 03:28:18
TKT-1035,Monitor Display Issue,Critical,In Progress,2025-02-10,2025-02-10 01:10:59
TKT-1036,Mouse/Keyboard Malfunction,Critical,In Progress,2025-05-29,2025-05-29 00:04:32
